"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
7.8894e+11	"tect1"	"I129"	0	0	0	1.41562e+08	0	0	0	0	0	0	0	0
7.8894e+11	"tect2"	"I129"	0	0	0	8.88893e+10	0	0	0	0	0	0	0	0
7.8894e+11	"tect3"	"I129"	0	0	0	4.2024e+09	0	0	0	0	0	0	0	0
7.8894e+11	"hu"	"I129"	0	0	0	4.21319e+10	10	10	0	0	0	0	0	0
7.8894e+11	"geo_1_layer3"	"I129"	0	0	0	3.42619e+06	0	0	0	0	0	0	0	0
7.8894e+11	"geo_2_layer3"	"I129"	0	0	0	1.14927e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_3_layer3"	"I129"	0	0	0	0.227963	0	0	0	0	0	0	0	0
7.8894e+11	"geo_6_layer3"	"I129"	0	0	0	10.2168	0	0	0	0	0	0	0	0
7.8894e+11	"geo_7_layer3"	"I129"	0	0	0	1.14085e+08	0	0	0	0	0	0	0	0
7.8894e+11	"geo_8_layer3"	"I129"	0	0	0	3.35338e+09	0	0	0	0	0	0	0	0
7.8894e+11	"geo_9_layer3"	"I129"	0	0	0	3.81462e+09	0	0	0	0	0	0	0	0
7.8894e+11	"geo_10_layer3"	"I129"	0	0	0	4.57435e+09	0	0	0	0	0	0	0	0
7.8894e+11	"geo_11_layer3"	"I129"	0	0	0	9.53596e+08	0	0	0	0	0	0	0	0
7.8894e+11	"geo_12_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_13_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_1_layer4"	"I129"	0	0	0	1.09164e+07	0	0	0	0	0	0	0	0
7.8894e+11	"geo_2_layer4"	"I129"	0	0	0	2.089e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_3_layer4"	"I129"	0	0	0	0.924416	0	0	0	0	0	0	0	0
7.8894e+11	"geo_4_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_6_layer4"	"I129"	0	0	0	54.2483	0	0	0	0	0	0	0	0
7.8894e+11	"geo_7_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_8_layer4"	"I129"	0	0	0	0.0285501	0	0	0	0	0	0	0	0
7.8894e+11	"geo_9_layer4"	"I129"	0	0	0	4.22802e+09	0	0	0	0	0	0	0	0
7.8894e+11	"geo_10_layer4"	"I129"	0	0	0	5.36461e+10	0	0	0	0	0	0	0	0
7.8894e+11	"geo_11_layer4"	"I129"	0	0	0	1.06774e+10	0	0	0	0	0	0	0	0
7.8894e+11	"geo_1_layer5"	"I129"	0	0	0	3.68467e+07	0	0	0	0	0	0	0	0
7.8894e+11	"geo_2_layer5"	"I129"	0	0	0	3.87888e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_3_layer5"	"I129"	0	0	0	5.39939	0	0	0	0	0	0	0	0
7.8894e+11	"geo_5_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_6_layer5"	"I129"	0	0	0	36.1474	0	0	0	0	0	0	0	0
7.8894e+11	"geo_8_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_9_layer5"	"I129"	0	0	0	0.0376435	0	0	0	0	0	0	0	0
7.8894e+11	"geo_10_layer5"	"I129"	0	0	0	1.48882e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_11_layer5"	"I129"	0	0	0	1.82212e+10	0	0	0	0	0	0	0	0
7.8894e+11	"geo_1_layer6"	"I129"	0	0	0	1.99073e+08	0	0	0	0	0	0	0	0
7.8894e+11	"geo_2_layer6"	"I129"	0	0	0	7.67081e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_3_layer6"	"I129"	0	0	0	290322	0	0	0	0	0	0	0	0
7.8894e+11	"geo_5_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_6_layer6"	"I129"	0	0	0	775160	0	0	0	0	0	0	0	0
7.8894e+11	"geo_7_layer6"	"I129"	0	0	0	5.76786e+07	0	0	0	0	0	0	0	0
7.8894e+11	"geo_8_layer6"	"I129"	0	0	0	3.41115e+08	0	0	0	0	0	0	0	0
7.8894e+11	"geo_9_layer6"	"I129"	0	0	0	3.72002e+07	0	0	0	0	0	0	0	0
7.8894e+11	"geo_10_layer6"	"I129"	0	0	0	1.8354e+11	0	0	0	0	0	0	0	0
7.8894e+11	"geo_11_layer6"	"I129"	0	0	0	1.57771e+10	0	0	0	0	0	0	0	0
7.8894e+11	"geo_12_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"geo_13_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_11"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_12"	"I129"	0	0	0	2.99006e-11	0	0	0	0	0	0	0	0
7.8894e+11	"v1_15"	"I129"	0	0	0	7.62182e-11	0	0	0	0	0	0	0	0
7.8894e+11	"v1_16"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_42"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_43"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_131"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_132"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
7.8894e+11	"v1_171"	"I129"	0	0	0	1.21826	0	0	0	0	0	0	0	0
